"국적(지역)별","성별","체류자격별","항목","단위","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년",
"홍콩거주난민","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","0","","","",
"홍콩거주난민","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","0","","","",
"홍콩거주난민","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"홍콩거주난민","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","0","0","","0",
"홍콩거주난민","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"홍콩거주난민","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","0","0","","0",
"홍콩거주난민","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","","","","",
"홍콩거주난민","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","1","1","","1",
"홍콩거주난민","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","0","0","","0",
"홍콩거주난민","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","0","","","","","","0","0","","0",
"베트남","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","26","20","","","","","","","","",
"베트남","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","26","20","13","12","8","7","7","6","4","3",
"베트남","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","16","20","","","","","","","","",
"베트남","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","16","20","20","27","28","29","29","32","34","35",
"베트남","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","584","854","","","","","","","","",
"베트남","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","575","843","1276","1704","2117","2663","3092","3422","3852","4252",
"베트남","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","3","4","9","13","21","34","56","86","123","163",
"베트남","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","6","7","6","6","8","9","11","14","18","22",
"베트남","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","2452","1977","","","","","","","","",
"베트남","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","2452","1977","1636","1347","1156","964","891","800","568","455",
"베트남","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","1032","1150","","","","","","","","",
"베트남","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","1032","1150","1268","1355","1392","1400","1350","1315","1253","1224",
"베트남","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","35615","36826","","","","","","","","",
"베트남","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","34357","35313","35807","35736","35447","36568","35998","32980","30349","30658",
"베트남","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","714","935","1164","1417","1648","1817","1902","1975","2029","2139",
"베트남","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","544","578","604","588","635","681","722","817","906","1005",
"중국","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","211","170","","","","","","","","",
"중국","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","211","170","69","59","47","40","33","29","27","23",
"중국","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","558","665","","","","","","","","",
"중국","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","558","665","733","819","888","944","938","936","941","939",
"중국","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","3873","3854","","","","","","","","",
"중국","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","3726","3707","3803","3934","4098","4318","4337","4351","4412","4528",
"중국","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","26","36","46","63","70","94","115","131","155","164",
"중국","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","121","111","89","84","84","87","88","84","92","101",
"중국","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","1285","1006","","","","","","","","",
"중국","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","1285","1006","534","452","378","314","248","214","183","157",
"중국","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","7526","8635","","","","","","","","",
"중국","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","7526","8635","9670","10815","11514","12131","12166","12229","12207","12240",
"중국","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","22606","21328","","","","","","","","",
"중국","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","21253","20063","19444","18697","18483","18438","18279","18132","18155","19066",
"중국","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","138","165","201","234","276","303","323","353","373","411",
"중국","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","1215","1100","1013","966","974","975","965","975","1031","1076",
"한국계중국인","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","406","310","","","","","","","","",
"한국계중국인","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","406","310","78","71","55","43","39","36","30","25",
"한국계중국인","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","531","677","","","","","","","","",
"한국계중국인","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","531","677","835","1010","1128","1319","1329","1334","1314","1304",
"한국계중국인","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","6509","6203","","","","","","","","",
"한국계중국인","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","6335","6031","5816","5915","6160","6524","6770","6875","6859","6760",
"한국계중국인","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","40","53","69","76","89","81","90","93","103","108",
"한국계중국인","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","134","119","91","85","91","89","84","82","89","87",
"한국계중국인","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","1466","1212","","","","","","","","",
"한국계중국인","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","1466","1212","387","357","286","240","219","205","182","166",
"한국계중국인","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","1833","2219","","","","","","","","",
"한국계중국인","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","1833","2219","2621","3057","3351","3680","3653","3625","3528","3472",
"한국계중국인","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","13859","12509","","","","","","","","",
"한국계중국인","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","13048","11813","10807","10337","10095","10034","9743","9439","9146","8732",
"한국계중국인","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","78","77","86","96","112","126","132","134","143","140",
"한국계중국인","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","733","619","538","517","527","544","521","513","529","549",
"일본","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","10","4","","","","","","","","",
"일본","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","10","4","3","3","3","3","3","3","3","3",
"일본","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","400","411","","","","","","","","",
"일본","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","400","411","423","436","444","451","450","445","431","416",
"일본","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","813","805","","","","","","","","",
"일본","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","810","800","790","781","780","776","783","815","865","899",
"일본","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","3","5","2","2","2","3","5","6","5","6",
"일본","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","0","0","0","1","2","2","3","3","3","1",
"일본","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","77","43","","","","","","","","",
"일본","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","77","43","28","28","27","26","26","26","26","26",
"일본","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","6209","6325","","","","","","","","",
"일본","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","6209","6325","6376","6536","6614","6678","6640","6611","6434","6279",
"일본","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","5094","5273","","","","","","","","",
"일본","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","5027","5193","5412","5535","5779","6151","6593","7064","7489","7913",
"일본","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","25","28","28","28","24","24","21","22","24","20",
"일본","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","42","52","48","50","63","70","71","79","86","99",
"필리핀","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","7","5","","","","","","","","",
"필리핀","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","7","5","5","5","5","4","4","4","4","4",
"필리핀","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","26","27","","","","","","","","",
"필리핀","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","26","27","30","34","33","35","35","34","33","31",
"필리핀","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","283","296","","","","","","","","",
"필리핀","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","271","286","291","321","370","410","449","475","525","558",
"필리핀","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","8","7","5","5","7","9","9","9","10","10",
"필리핀","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","4","3","3","3","4","5","6","6","8","7",
"필리핀","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","347","284","","","","","","","","",
"필리핀","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","347","284","224","205","186","159","151","151","139","126",
"필리핀","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","469","511","","","","","","","","",
"필리핀","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","469","511","558","601","633","634","625","621","612","609",
"필리핀","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","9920","10244","","","","","","","","",
"필리핀","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","9665","9946","10144","10189","10112","10214","10113","10057","10162","10368",
"필리핀","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","131","174","209","271","324","383","417","455","495","556",
"필리핀","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","124","124","137","149","162","177","194","229","265","288",
"타이(태국)","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","2","2","","","","","","","","",
"타이(태국)","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","2","2","1","0","0","0","0","0","0","0",
"타이(태국)","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","2","2","","","","","","","","",
"타이(태국)","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","2","2","2","3","4","4","4","3","3","3",
"타이(태국)","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","66","71","","","","","","","","",
"타이(태국)","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","66","71","74","80","91","93","105","115","121","132",
"타이(태국)","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","0","0","0","1","2","2","4","5","5",
"타이(태국)","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","0","0","0","0","0","0","0","0","0","0",
"타이(태국)","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","83","57","","","","","","","","",
"타이(태국)","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","83","57","38","30","24","21","20","19","19","16",
"타이(태국)","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","578","593","","","","","","","","",
"타이(태국)","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","578","593","597","611","612","610","608","603","571","569",
"타이(태국)","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","1944","2096","","","","","","","","",
"타이(태국)","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","1891","2026","2393","2861","3586","4289","5066","5685","6630","7756",
"타이(태국)","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","25","28","35","41","46","56","61","59","67","84",
"타이(태국)","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","28","42","42","45","47","55","63","70","90","104",
"캄보디아","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","0","0","","","","","","","","",
"캄보디아","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","0","0","0","0","0","0","0","0","0","0",
"캄보디아","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","0","0","","","","","","","","",
"캄보디아","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","0","0","0","0","0","0","1","1","1","1",
"캄보디아","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","17","45","","","","","","","","",
"캄보디아","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","17","45","60","116","213","364","455","528","649","767",
"캄보디아","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","0","1","3","4","4","8","13","14","18",
"캄보디아","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","0","0","0","0","0","1","2","4","4","2",
"캄보디아","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","326","268","","","","","","","","",
"캄보디아","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","326","268","208","179","156","130","115","112","82","76",
"캄보디아","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","77","81","","","","","","","","",
"캄보디아","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","77","81","83","78","81","83","75","76","74","73",
"캄보디아","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","4198","4161","","","","","","","","",
"캄보디아","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","4080","4018","3933","3844","3748","3721","3605","3411","3353","3354",
"캄보디아","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","58","81","126","175","222","263","297","325","352","375",
"캄보디아","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","60","62","62","64","72","75","80","95","112","128",
"우즈베키스탄","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","0","0","","","","","","","","",
"우즈베키스탄","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","0","0","0","0","0","0","0","0","0","0",
"우즈베키스탄","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","8","11","","","","","","","","",
"우즈베키스탄","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","8","11","13","13","14","15","16","17","17","17",
"우즈베키스탄","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","64","70","","","","","","","","",
"우즈베키스탄","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","63","70","73","85","99","124","144","159","189","212",
"우즈베키스탄","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","0","1","1","1","1","4","3","3","4",
"우즈베키스탄","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","1","0","0","0","0","1","0","3","4","5",
"우즈베키스탄","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","44","34","","","","","","","","",
"우즈베키스탄","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","44","34","24","20","18","15","12","12","12","11",
"우즈베키스탄","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","538","624","","","","","","","","",
"우즈베키스탄","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","538","624","699","776","802","852","815","801","763","746",
"우즈베키스탄","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","1565","1505","","","","","","","","",
"우즈베키스탄","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","1514","1443","1416","1388","1393","1563","1514","1580","1600","1628",
"우즈베키스탄","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","35","43","51","58","69","88","89","100","108","125",
"우즈베키스탄","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","16","19","25","26","29","29","31","34","42","44",
"몽골","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","2","1","","","","","","","","",
"몽골","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","2","1","1","1","1","1","1","1","1","1",
"몽골","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","4","4","","","","","","","","",
"몽골","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","4","4","4","6","9","11","11","12","11","12",
"몽골","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","76","99","","","","","","","","",
"몽골","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","74","94","105","117","129","142","158","168","181","196",
"몽골","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","3","5","4","6","6","6","5","6","7",
"몽골","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","2","2","2","2","2","3","4","5","5","6",
"몽골","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","149","130","","","","","","","","",
"몽골","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","149","130","110","103","90","85","78","71","61","56",
"몽골","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","470","500","","","","","","","","",
"몽골","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","470","500","526","535","537","554","532","522","502","495",
"몽골","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","1693","1650","","","","","","","","",
"몽골","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","1606","1555","1533","1510","1532","1554","1557","1570","1597","1638",
"몽골","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","44","45","45","59","71","77","76","83","88","92",
"몽골","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","43","50","50","59","61","64","63","65","76","80",
"타이완(대만)","남성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","2","2","","","","","","","","",
"타이완(대만)","남성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","2","2","1","1","1","1","1","1","1","0",
"타이완(대만)","남성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","19","19","","","","","","","","",
"타이완(대만)","남성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","19","19","19","17","15","17","17","17","17","16",
"타이완(대만)","남성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","55","58","","","","","","","","",
"타이완(대만)","남성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","54","57","56","63","78","97","108","123","158","166",
"타이완(대만)","남성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","0","0","0","0","0","1","1","1","1","3",
"타이완(대만)","남성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","1","1","1","0","0","0","0","0","1","1",
"타이완(대만)","여성","거주(F-2)","국적, 지역별 결혼이민자 현황[명]","명","3","0","","","","","","","","",
"타이완(대만)","여성","국민배우자(F-2-1)","국적, 지역별 결혼이민자 현황[명]","명","3","0","0","0","0","0","0","0","0","0",
"타이완(대만)","여성","영주(F-5)","국적, 지역별 결혼이민자 현황[명]","명","167","168","","","","","","","","",
"타이완(대만)","여성","국민배우자(F-5-2)","국적, 지역별 결혼이민자 현황[명]","명","167","168","187","211","243","252","249","244","232","215",
"타이완(대만)","여성","결혼이민(F-6)","국적, 지역별 결혼이민자 현황[명]","명","494","576","","","","","","","","",
"타이완(대만)","여성","국민배우자(F-6-1)","국적, 지역별 결혼이민자 현황[명]","명","491","574","663","774","868","1018","1088","1202","1310","1391",
"타이완(대만)","여성","자녀양육(F-6-2)","국적, 지역별 결혼이민자 현황[명]","명","1","0","0","2","3","2","2","2","2","4",
"타이완(대만)","여성","혼인단절(F-6-3)","국적, 지역별 결혼이민자 현황[명]","명","2","2","2","4","5","6","6","6","8","10",
